young_veterans,abuse,8
young_veterans,less,8
young_veterans,war_veterans,5
young_veterans,Operation_Iraqi,4
young_veterans,calculations,3
young_veterans,mental_illness,2
young_veterans,social_networks,1
young_veterans,acid,1
young_veterans,sclerosis,1
young_veterans,brain,1
young_veterans,depression,1
young_veterans,intelligence,1
young_veterans,exposure,1
abuse,less,34
abuse,war_veterans,17
abuse,brain,9
abuse,intelligence,3
abuse,exposure,40
less,exposure,228
war_veterans,sclerosis,36
war_veterans,brain,88
war_veterans,intelligence,12
war_veterans,exposure,478
Operation_Iraqi,calculations,6
Operation_Iraqi,mental_illness,5
Operation_Iraqi,social_networks,1
Operation_Iraqi,brain,8
Operation_Iraqi,exposure,46
calculations,brain,1
calculations,intelligence,1
calculations,exposure,27
mental_illness,social_networks,1
mental_illness,brain,6
mental_illness,exposure,6
social_networks,brain,1
social_networks,intelligence,2
social_networks,exposure,1
acid,sclerosis,2
acid,brain,25
acid,depression,11
acid,exposure,70
sclerosis,brain,6
sclerosis,exposure,13
brain,exposure,170
depression,intelligence,4
depression,exposure,210
intelligence,exposure,17
